title,location,minimum_qual,preferred_qual,responsibilities
"Manager, Software Engineering - Portal System Software","Menlo Park, CA","10+ years of software engineering work experience, including 5+ years experience of hands-on technical management
Experience in one or more of the following domains: Android Frameworks and Middleware and System UI
Experience building and leading a software organization through product design, delivery and commercialization of consumer electronics devices
Experience recruiting and managing technical teams, including performance management
BS/MS in Computer Science
Experience in leading timeline, multi-partner initiatives
Organizational, communication, coordination and multi-tasking experience",,"Lead multiple engineering teams committed to building the next generation of social hardware products, applications and platforms
Be both a technical leader and people manager
Communicate cross-functionally and drive engineering efforts
Partner closely with many Facebook internal partner teams to create shared roadmaps and deliver on the product vision
Champion engineering and operational excellence, establishing metrics and process for regular assessment and improvement
Set clear expectations and create a positive work environment based on accountability, in collaboration with the engineering and management teams
Work on strategy and help set direction while staying on top of the day-to-day software development"
"Software Engineer, University Grad","London, United Kingdom","Experience in C++, Java, Perl, PHP, or Python
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment","Bachelor’s or Master’s degree in Computer Science or a related field
Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications","Code high-volume software using primarily C++ and Java
Create web applications using primarily PHP
Implement web interfaces using XHTML, CSS, and JavaScript
Build report interfaces and data feeds"
"Software Engineer, Computer Vision, Interaction Tracking (Oculus)","Seattle, WA","3+ years of experience with 3D computer graphics or 3D vision - specifically real-time tracking (e.g. of objects, hands, bodies, faces) or 3D reconstruction
Experience researching, developing and prototyping hardware and software technologies
Experience training deep convolutional and/or recurrent neural networks
End-to-end product development experience",,"B.Sc. in Computer Science or a related technical field
3+ years of experience developing software in C++, including algorithm design and systems software development"
"Software Engineer, Hardware System","Menlo Park, CA","Bachelor’s degree in Computer Science, Computer Engineering or equivalent combination of education
Experience with C and C++","Familiar with Linux kernel, IPC, and device driver model
Scripting capability with Php, Python or Perl
Familiar with latest server architecture and components
Familiar with ARM based micro controller software stack","Own and develop a full server management software solution (OpenBMC) for our next generation hardware platforms.
Design and develop the code base of software framework for scalability and extensibility, which will enable faster project development.
Actively collaborate with industry partners to build and evolve open source ecosystem around our server management software stack.
Take full ownership of driving our ODM partners on active engineering engagement to ensure high quality of software release.
Build strong partnership with other infrastructure teams to ensure smooth deployment and operation of server management software in our data center environment."
AR Systems Software Engineer,"Redmond, WA","Experience building a UI for embedded systems
Experience with Human Computer Interaction (HCI)
Experience in 3D math
Advanced mathematics experience",,"BS degree in Computer Science or related field
5+ years of C++ experience
Knowledge of the fundamentals of computer architecture
Proven track record of software development, including shipping one or more products using standard software development toolsets such as source control and continuous integration systems
Problem solving and optimization experience
Communication experience and demonstrated experience working across disciplines in driving solutions"
"Software Engineer, Database Engineering","Menlo Park, CA","5+ years software engineering experience or coding experience in C, C++, or Java
2+ years experience building database software
B.S. Computer Science or related technical field","Experience working directly with database systems at scale
M.S. or PhD in Computer Science or related technical field","Design core software components for database systems
Code using primarily in C++
Interface with other teams to collaborate in transforming the landscape
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources"
Research Software Development Engineer,"Redmond, WA","Masters or PhD
Experience in 3D math and linear algebra
Experience in sensor fusion
Experience in MATLAB
Experience in robotics
Advanced mathematics experience",,"BS degree in Computer Science or related field
5+ years C++ experience, including modern C++ features and principles
5+ years experience creating software for games or real-time systems or high performance computing
Proven track record of software development, including shipping one or more products using standard software development toolsets such as source control and continuous integration systems
Problem solving and optimization experience
Communication experience and demonstrated experience working across disciplines in driving solutions"
Security Software Engineer (Oculus),"Seattle, WA","5+ years of software development experience
Experience advocating for technical security solutions across functional domains
Masters or PhD in Computer science or related field
Security patents, technical security conference presentations, or other indicators of industry grade security expertise
Android and/or Linux expertise
Experience designing and deploying public key infrastructure, authorization systems, or key management systems
Experience with ARM-based embedded systems
JavaScript and PHP experience",,"3+ years of software development experience
3+ years of industry experience developing and implementing security features and solutions
3+ years native code development experience
BS degree in Computer Science or related field
Experience applying fundamental security concepts to systems
Experience with device security concepts
Experience with core security concepts"
Software Engineer - Graphics,"Redmond, WA","Experience in real-time ray tracing
Advanced mathematics experience
Experience in computer vision and machine learning
Experience in compression and streaming
Experience in game engines such as Unreal
Experience in embedded and low-power environments (mobile SoCs, DSPs, etc.)
Experience in hardware simulation and bringup",,"BS degree in Computer Science or related field
5+ years C++ experience
5+ years experience creating software for games or real-time systems
Working knowledge of 3D math and linear algebra
Knowledge of GPU architecture, SIMD instruction sets, caches, code generation, and profiling
Experience with one or more low-level graphics frameworks, such as Direct3D, OpenGL, Mantle, Metal, or Vulkan
Proven track record of software development, including shipping one or more products of using standard software development toolsets such as source control and continuous integration systems
Experience communicating and working across disciplines to drive solutions"
AR Software Engineer,"Menlo Park, CA","3+ years of work experience with Android development.
2+ years of experience with AR software development.
Knowledge developing and debugging in C/C++ and Java.
Experience with scripting languages such as Perl, and Python.","AR engine experience.
Experience with Unreal or Unity engines.","Develop optimized software to run on variety of platforms and environments including mobile, tablet and laptops.
Work with product managers to define use cases, and develop methodology and benchmarks to evaluate different approaches."
System Software Engineer,"Menlo Park, CA","Experience with low-level (kernel/drivers/HAL), as well as user-space system software
Experience with software framework design for rapid prototyping
Experience with multimedia (video/audio) use cases
Experience with Embedded Linux/Android system software
Experience with ARM based processors and micro-controllers and various communications protocols such as I2C, UART, SPI, USB, MIPI, I2S, etc.",,"BS in Electrical Engineering or Computer Science
5+ years experience with system software design and development
Experience with protocol design, specification, and implementation
Experience debugging and problem-solving in unfamiliar code bases and environments"
"Software Engineer, Input Explorations","Redmond, WA",,,"Bachelor's degree in computer science, or a related field.
3+ years experience in gameplay prototyping and engineering.
5+ years experience in software engineering on games.
3+ years game engine architecture experience.
3+ years experience with game engines including Unity, Unreal, or native engines.
3+ years experience with gameplay system design or game tool development.
3+ years experience with feature implementation.
5+ years experience with C/C++ programming on systems.
Hardware hacking experience."
Software Engineer (Infrastructure),"Pittsburgh, PA","Masters or PhD in Computer Science or a related field
Experience with 3D Math and Linear Algebra
Experience with 3D Computer Graphics
Experience with Robotics
Experience with Machine Learning
Experience with Computer Vision
Experience with Visualization
Experience with Networking
Experience with GPU Computing
Experience with Python",,"Bachelor of Science (or equivalent) in Computer Science or a related field
5+ years of C++ experience, including Modern C++ features and techniques
Experience deploying software on large-scale distributed systems
Proven track record of shipping software
Experience with software development practices such as source control, code reviews, unit testing, debugging and profiling
Experience with Linux"
"Software Engineer, Facebook Connectivity","Northridge, CA","Knowledge of C, C++, Python, HTML, *nix.
B.S. or M.S. in Computer Science, Electrical Engineering or a related discipline.
Experience with software design and implementation for embedded systems.
Knowledge of real-time operating systems (RTOS), interfaces for data acquisition and control, and device drivers.
Experience with hardware-in-the-loop testing and validation including the use of network test equipment as well as lab test equipment such as spectrum analyzers, oscilloscopes, and frequency synthesizers.
Knowledge or experience in the following: ARM architecture, small to medium scale software development, test suite development, distributed code repositories, and embedded Linux.",,"Design software for RF and optical communication terminals including: physical and link layer algorithms and processing, analog and digital interfaces, and monitor and control consoles.
Interface with hardware, electrical, mechanical, RF, optical, and software engineers to understand system architecture.
Perform component and system level testing in both laboratory and operational environments.
Collaborate with Network Engineering team to automate processes, and build software infrastructure for embedded development and analysis."
Software Engineer - Data Flow,"Seattle, WA","4+ years software engineering experience or coding experience in C, C++, Java
2+ years coding experience in PHP, Hack, Python, Java or C++
2+ years experience building logging infrastructure, metrics infrastructure or pipeline management","Experience working directly with data engineer or data scientist teams
Experience working with product team in logging instrumentation on both client and server side
Experience working on data modeling from logging to analytics
Experience building metrics computation or consumption framework
Experience extracting and implementing analytics patterns","Design core, backend or frontend software components
Code using primarily PHP, Hack, Python, Scala or Java
Interface with other teams to collaborate in transforming the landscape
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources
Design and implement a workflow language for efficient data processing and machine learning"
"Software Engineer, Embedded Systems","Menlo Park, CA","BS in Computer Science or Computer Engineering
Knowledge with hardware architecture, bring up and debug
Experience with Linux kernel or RTOS driver models and frameworks around media, networking, or storage
C/C++ coding experience
Knowledge with embedded environments, JTAG, trace, schematics and board-level debug","Familiarity with design and implementation of hardware-software interfaces
Familiarity with hardware bring up, and debug of i2c, SPI, PCI-e, Ethernet and other peripherals
Familiarity with design and implementation of kernel/user space interfaces and frameworks
Experience with offload engines in video, crypto, networking or machine learning
Familiarity with modern video formats, codecs, ML algorithms and related frameworks","Create and maintain system software components including device drivers, firmware and tools to manage the hardware
Work with security teams on implementing best practices for platform components
Work with emulators and prototype/FPGA hardware on software development and hardware validation
Work with HW and application teams to bring up hardware, test functionality, debug and performance tuning
Work with production teams on qualification and validation suites and trouble shooting"
Embedded Software Engineer,"Redmond, WA","5+ years of experience in embedded firmware design for low-power mobile SoC
Experience with lab instrumentation like oscilloscope, logic/protocol analyzers for debugging embedded systems at HW level
Familiarity with embedded micro-controllers' architecture
Hands-on coding experience with peripherals such as UART, SPI, CSI-2, i2c, GPIO, USB
Experience in real-time processing for computer vision and user interaction tasks, high-compute/throughput systems and using simulation and modeling technique to estimate performance and power
Hands-on experience with FPGA and hardware evaluation boards, EDA design tools, and/or ISA simulators",,"B.S. degree in Computer Science or Electrical Engineering and 2+ years of experience in firmware development
Experience in software design and programming in C/C++ for development, debugging, testing and performance analysis
Experience in understanding hardware, clock-level issues, bridges, delays, interrupts, clock gating, polling etc."
"Manager, Software Engineering - Systems","Los Angeles, CA","BS/MS in Computer Science or a related technical field.
5+ years of work experience architecting, developing, and launching software products and/or services.
4+ years of experience managing engineering teams including hiring/termination and performance management.
5+ years experience C/C++/Java or comparable language (i.e., JavaScript).",,"Help build and lead great software teams to deliver world-class products.
Drive customer experience, continually raising the bar on functionality, usability, and simplicity.
Champion engineering and operations, establishing metrics and process for regular assessment and improvement.
Establish a solid project framework and development processes.
Provide technical leadership and guidance to both your team members and your project peers.
Set clear expectations and create a positive work environment based on accountability, in collaboration with the engineering and management teams."
"Software Engineer, Computer Vision, Tracking (Oculus)","Menlo Park, CA","3+ years of experience with 3D computer graphics or 3D vision - specifically real-time tracking (e.g. of objects, hands, bodies, faces) or 3D reconstruction
Experience researching, developing and prototyping hardware and software technologies
Experience training deep convolutional and/or recurrent neural networks
End-to-end product development experience",,"B.Sc. in Computer Science or a related technical field
3+ years of experience developing software in C++, including algorithm design and systems software development"
Software Rendering Engineer,"Menlo Park, CA","PhD in Computer Science
Have developed or modified camera pipeline on mobile platform
Experienced in display technologies
Experience in 3D graphics and Vulkan
Experience working on VR, AR and/or MR
Experience with mobile CPU/GPU programming
Experience with human vision science
Experience with OS internals and kernel development/debugging for Android and/or Linux",,"Master’s degree in Computer Science, Mathematics or related technical field
3+ years experience developing software in C++
Experienced in camera ISP techniques including white-balancing and HDR
Experienced in inline compression and de-noising algorithm for display pipeline
Experienced in 3D Graphics and OpenGL ES
Experience with hardware, firmware and drivers"
"Software Engineer, iOS","London, United Kingdom","Extensive knowledge of object-oriented software development
Experience building complex applications for the iPhone or iPad using Objective-C / C++ with Cocoa and other frameworks
Mobile application development at the user interface and system levels
Ability to understand and debug large and complex code bases
Experience designing clean and maintainable APIs
Experience with multithreaded programming
Experience writing unit tests and testable code
Knowledge of iOS SDK performance tools and optimisation techniques
Excellent problem solving, critical thinking and communication skills","BSc or MSc in Computer Science or related field (or equivalent industry experience)
 ","Work closely with our product and design teams to customise the Facebook experience for the iOS platform
Implement custom native user interfaces using the latest iOS programming techniques
Build reusable iOS software components for interfacing with the Facebook platform
Analyse and optimise UI and back-end application code for efficiency and performance"
"Software Engineer, Traffic Infrastructure","Boston, MA","Bachelor's Degree in Computer Science or related field (or equivalent experience)
2+ years of experience in HTTP, SSL, TCP, C++, Java, Linux
2+ years of experience developing and debugging system level services in C, C++, Python, or Java, particularly on Linux
2+ years of experience with one or more of: telemetry data, filesystems, concurrency, multithreading, server architectures, distributed systems
Experience replacing network hardware devices with software services
Experience developing and debugging networking protocols (HTTP, SSL, QUIC, SPDY, and TCP)",,"Develop DNS and HTTP stacks to run on varied devices and servers
Implement and integrate next generation protocols like HTTP2 and QUIC
Collaborate with Network Engineering team to design and build our next generation edge network
Design load balancing software to optimize traffic flow between data centers and POPs
Analyze and improve efficiency, scalability, and stability of network infrastructure and rich telemetry data
Make Facebook fast and keep the site up
Conduct design and code reviews"
"Software Engineer, Core Data","Menlo Park, CA","5+ years software engineering experience or coding experience in C, C++, or Java
2+ years experience building database software
B.S. Computer Science or related technical field","Experience working directly with database systems at scale
M.S. or PhD in Computer Science or related technical field","Design core, backend software components
Code using primarily C/C++, Java, PHP and Hack
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources"
"Software Engineer, Traffic Infrastructure","Seattle, WA","Bachelor's Degree in Computer Science or related field (or equivalent experience)
2+ years of experience in HTTP, SSL, TCP, C++, Java, Linux
2+ years of experience developing and debugging system level services in C, C++, Python, or Java, particularly on Linux
2+ years of experience with one or more of: telemetry data, filesystems, concurrency, multithreading, server architectures, distributed systems
Experience replacing network hardware devices with software services
Experience developing and debugging networking protocols (HTTP, SSL, QUIC, SPDY, and TCP)",,"Develop DNS and HTTP stacks to run on varied devices and servers
Implement and integrate next generation protocols like HTTP2 and QUIC
Collaborate with Network Engineering team to design and build our next generation edge network
Design load balancing software to optimize traffic flow between data centers and POPs
Analyze and improve efficiency, scalability, and stability of network infrastructure and rich telemetry data
Make Facebook fast and keep the site up
Conduct design and code reviews"
Software Engineer (CV Calibration),"Pittsburgh, PA","3+ years experience with multi-view camera geometry, geometric and photo-metric camera calibration, 3D reconstruction or photogrammetry
Experience with formulating and solving computer vision optimization problems
Demonstrated software engineer experience via an internship, work experience, coding competitions, or widely used contributions in open source repositories (e.g., GitHub)
Proven publication track record at conferences such as CVPR, ECCV, ICCV, 3DV, etc.",,"MS or PhD degree in computer science, computer vision, or related technical field
3+ years experience designing and developing computer vision algorithms in C++
3+ years of experience with prototyping algorithms in MATLAB or Python
Linear algebra, 3D geometry and numerical optimization experience"
"Software Engineer, Dash (Oculus)","Menlo Park, CA","Game engine architecture experience
Experience with 3D
Experience with React or React Native",,"Bachelors degree or equivalent experience in Computer Science or similar field.
10+ years of software engineering experience on shipped consumer-facing products for console or mobile platforms.
3+ years of experience developing in a JavaScript framework such as React or Angular.
3+ years experience with C/C++ programming."
Software Engineer (Oculus),"Zurich, Switzerland","PhD in Computer Science, Electrical Engineering, Mathematics, Physics, Robotics or related technical field.
Experience working on VR/AR/MR.",,"BSc or MSc in Computer Science, Electrical Engineering, Mathematics, Physics, Robotics or related technical field.
3+ years of experience developing software in C++ for high performance and/or real-time systems.
Experience working with one or more from the following:
Depth sensor technology, computer vision, machine learning, imaging/camera systems and/or consumer mobile products
Embedded systems, firmware, drivers, OS/kernel development
CPU/GPU programming and optimization
3D graphics, rendering, geometry, and/or visualization
Machine learning pipelines for detection or classification from images or videos
Cloud computing and data analysis.
Applications and resumes to be submitted in English."
Software Engineer (Video Infrastructure),"Menlo Park, CA","7+ years of relevant software development experience
BS, MS, or PhD in Computer Science or equivalent engineering experience
Knowledge of Fourier-related transforms: FFT, FHT, DCT
Experience with audio/video content identification or fingerprinting
Experience with C++ or Java, Python and object-oriented design principles
Experience with FFmpeg, OpenCV, Caffe2",,"Building real-time algorithms that run at internet scale
Leveraging machine learning techniques to solve complex problems
Driving technical collaborations with product and infrastructure teams
Delivering at all phases of the software lifecycle: design, implementation, deployment and operation"
"Software Engineer, CDN","Menlo Park, CA","Bachelor's Degree in Computer Science or related field (or equivalent experience)
At least 2 years software development experience with filesystems, concurrency, multithreading, server architectures, and distributed systems
Experience replacing networking hardware devices with software services
Experience working with networking protocols (such as HTTP, SSL, TCP)
At least 2 years developing and debugging in system level C/C++/Java, particularly on Linux",,"Develop software that runs on servers throughout the world
Design, implement, and optimize algorithms for improving network
Collaborate with other teams to design, automate, monitor, and scale infrastructure to support multi-terabit class traffic
Design and implement new infrastructure to support new video, photos, and other product features in a scalable way
Analyze and improve efficiency, scalability, stability, reliability, and performance of CDN infrastructure
Conduct design and code reviews
Work with other teams to integrate and support their products and solutions innovations on our CDN"
Wireless/Networking Test Software Engineer,"Menlo Park, CA","BS/MS degree in EE, CS, Physics, Math, or Science with 4+ years of work experience
Experience architecting and developing software
Experience in Python programming
Experience in UI development
Knowledge of wireless PHY/MAC protocols","Knowledge of basic Ethernet and routing protocols (with a heavy emphasis on Linux based systems)
Knowledge of 802.11 standards","Architect software test frameworks
Partner with software and system engineers to ensure test frameworks meet requirements
Lead a team of software developers to implement software test frameworks"
Software Engineer - Database Kernel Development,"Seattle, WA","5+ years software engineering experience or coding experience in C, C++, or Java
2+ years experience building database software
B.S. Computer Science or related technical field","Experience working directly with database systems at scale
M.S. or PhD in Computer Science or related technical field","Design core software components for database systems
Code using primarily in C++
Interface with other teams to collaborate in transforming the landscape
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources"
"Software Engineer, Input Sensing - Oculus","Menlo Park, CA","Real-time system development
Experience with OS internals and kernel development/debugging for Android and/or Linux
Experience working with cameras or depth sensors
Strong C++ knowledge
Experience in Computer Vision
Knowledge in machine learning and 3D geometry
Experience with OS internals and kernel development/debugging for Android and/or Linux
Experience working on VR, AR and/or MR
Experience with Graphics and visualization platforms",,"Bachelor’s degree in Computer Science, Electrical Engineering, Mathematics, Physics, Robotics or related technical field
5+ years experience developing software
Experience working collaboratively in cross-functional teams
Experience with Software Development processes including: source control, bug tracking, and design documentation
Experience building, shipping, and maintaining software"
Software Engineer - Database Kernel Development,"Seattle, WA","5+ years software engineering experience or coding experience in C, C++, or Java
2+ years experience building database software
B.S. Computer Science or related technical field","Experience working directly with database systems at scale
M.S. or PhD in Computer Science or related technical field","Design core software components for database systems
Code using primarily in C++
Interface with other teams to collaborate in transforming the landscape
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources"
"Core Tech Software Intern, Oculus","Menlo Park, CA","Android NDK development
VPU/DSP/GPU and SW optimization
3D graphics",,"In an academic program to master’s degree in Computer Science, Mathematics, or related field.
Experience in developing software for RT/Embedded systems in C++ and/or C.
Experience with computer vision and/or vision systems."
AR/VR Software Engineer (Oculus),"Redmond, WA","Experience in 3D math and linear algebra
Experience in 3D graphics
Experience in game engines such as Unreal
Experience in sensor fusion
Experience in MATLAB
Experience in Robotics
Knowledge in advanced mathematics",,"BS degree in Computer Science or related field
6+ years C++ experience, including modern C++ features and principles
5+ years experience creating software for games, real-time systems or other high performance environments
Knowledge of the fundamentals of computer architecture, including CPU data caching, SIMD instruction sets, and compiler code generation
Experience with software development, including shipping one or more products using standard software development toolsets such as source control and continuous integration systems
Optimization and problem solving experience"
Operating Systems Software Engineer (Oculus),"Redmond, WA","Experience with power management and modern systems architecture.
Experience with specialized kernel functions: synchronization primitives, memory management, schedulers and dispatchers, TLB management.
Experience working on multiple classes of drivers e.g., bus, block, wireless, display drivers.
Experience with low-latency, high bandwidth, streaming hardware devices, e.g. video cameras, graphics cards, etc.
Experience with new device bring-up.
Experience with ARM platforms.
Experience creating, debugging, and deploying on-device firmware (MCU and/or DSP).",,"5+ years experience working on systems software in a large-scale C or C++ code base.
Demonstrated knowledge of operating systems internals on at least one platform.
Demonstrated knowledge creating device drivers on at least one platform.
Experience developing, debugging, and shipping software products on large code bases that span platforms and tools.
Experience with Software Development processes including: source control, bug tracking, and design documentation.
Demonstrated experience working collaboratively in cross-functional teams."
"Software Engineer, PhD Intern/Co-Op (Systems and Infrastructure)(2019)","Boston, MA","Pursuing PhD in Computer Science, related STEM or quantitative field, or relevant experience
Research and/or work experience in Algorithms, Architecture, Programming Languages, Compilers, Database, Data Mining, Distributed Systems, Security, Cryptography, Networking, and/or Systems
Experience in systems software or algorithms
Expertise in C++, Java, Perl, PHP or Python
High levels of creativity and quick problem solving capabilities
Proven track record of achieving significant results
Ability to obtain work authorization in the United States in 2018
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
Must be currently enrolled in a full-time degree program and returning to the program after the completion of the internship/co-op","Demonstrated software engineer experience via an internship, work experience, coding competitions, or PhD papers","Build highly-scalable software systems using primarily C++ and Java.
Design flexible APIs for Facebook product teams developing applications for web and mobile.
Build detailed monitoring to track the health of these systems and quickly triage issues.
Analyze the shortcomings of existing systems.
Design and build next generation systems to constantly be at the cutting edge."
"Manager, Software Engineering- Portal Backend","Menlo Park, CA","Experience in backend services, systems, and data infrastructure.
BS/MS in Computer Science or a related technical field.
5+ years of work experience architecting, developing, and shipping software products and/or services.
4+ years of experience managing cross-functional engineering teams.",,"Help build and lead great software teams to deliver world-class products.
Provide technical leadership and guidance to both your team members and your project peers.
Champion engineering and operational excellence, establishing metrics and process for regular assessment and improvement.
Set clear expectations and create a positive work environment based on accountability, in collaboration with the engineering and management teams.
Communicate and collaborate effectively with hardware and software engineering teams.
Operate strategically and tactically.
Work on strategy and help set direction while staying on top of the day-to-day software development."
