title,location,minimum_qual,preferred_qual,responsibilities
"Software Engineer, Embedded Systems","Sunnyvale, CA, USA","BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
1 year of relevant work experience.
Development experience within embedded systems/firmware design.
Experience coding in C/C++","MS or PhD degree in Computer Science, Computer Engineering, Electrical Engineering or related field
Experience with audio and video processing or DSP, including but not limited to AV synchronization, Open GL/CL, codecs, AV/Media, or speech/audio recognition and synthesis.
Knowledge of Unix/Linux environments and kernel development.
Knowledge of one or more of the following: Microcontrollers, SoC, device drivers, hardware bringup, power management, ARM processors, performance optimization, file systems, bootloading, firmware, x86 assembly, system BIOS or hardware/software integration.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables."
"Software Engineer, Tools and Infrastructure","Stockholm, Sweden","Bachelor's degree or equivalent practical experience.
Experience in a test automation, continuous integration or similar role.","Bachelor's degree in Computer Science.
Experience developing test automation in C++, Java or Python.","Lead and contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and testing.
Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design.
Drive adoption of best practices in code health, testing and maintainability.
Design and build advanced automated testing frameworks and infrastructure to help Engineering teams measure and increase their velocity."
"Software Engineer, Mobile Applications (iOS)","Tokyo, Japan","BA/BS degree in Computer Science or equivalent practical experience.
Programming experience in Objective-C or Swift.","4 years of relevant work experience in software development.
Experience in computer science, with strong competencies in data structures, algorithms and software design optimized for embedded systems.
Experience in specialist domains such as embedded/device systems, mobile optimized websites, mobile web browsers, client application development for Windows/Mac or third party libraries for iOS.
Deep technical knowledge of mobile application development for iOS
Knowledge of UI frameworks, MVP application design and complex, reactive touch based UI","Develop mobile applications in Objective-C/Swift on iOS, with backend in Java."
Front End Software Engineer,"Pittsburgh, PA, USA","Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.
Programming experience in one or more of the following languages: C, C++, Java and/or Python.
Able to start in 2019 or 2020.","Master's degree in Computer Science or related technical field.
1 year of relevant work experience, including experience with Unix/Linux or Windows environments, distributed systems, machine learning, information retrieval and TCP/IP.
Experience in network programming and/or developing/designing software systems.",Perform specific responsibilities which vary by project area.
Front End Software Engineer,"Pittsburgh, PA, USA","Bachelor's in Computer Science, related technical field or equivalent practical experience.
2 years of relevant work experience in software development.
Experience in C++/C programming.","MS degree or PhD in Computer Science or related technical field.
Experience in programming in C for embedded systems.
Experience with graphics, Chrome and/or WebKit.
Experience with assembly language, GPU optimizations, embedded systems.
Experience with graphics APIs such as OpenGL or Direct3D, and languages such as C#, Java, Lua or Python.
Strong low-level programming skills and a thorough understanding of hardware architectures.","Develop graphics software for high-volume products (Chrome and Android) to drive the future of graphics capabilities for Google Chrome, Mobile, and the Web.
Specialize in domains: Graphics, Typography, OpenGL, DirectX development with client application development for Windows/Mac (Chrome, Toolbar, etc.), embedded systems and mobile apps (Android), and developer tools (IDEs, large-scale build systems, compilers)."
Front End Software Engineer,"Pittsburgh, PA, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
1 year of relevant work experience.
Programming experience in C and/or C++.
Experience in working with graphics pipelines, including OpenGL and Vulkan.","Master's degree in Computer Science or related technical field.
Experience with large systems software design and development, with extensive knowledge of Unix/Linux.
Skills in AJAX, Python or JavaScript, database design, SQL and/or knowledge of TCP/IP and network programming.
Background in Computer Science, with competencies in data structures, algorithms and software design.","Write server-side code for web-based applications, create robust high-volume production applications and develop prototypes.
Build platforms, systems and networking infrastructure using background in distributed systems, OS/kernel, network system design and large scale storage systems.
Build internal systems used by thousands of Googlers around the world with your domain expertise in HR, Staffing, Legal and all other corporate functions.
Provide UI development with AJAX and similar technologies, client application development for Windows/Mac (Chrome, Toolbar, etc.), embedded systems and mobile apps (Android), developer tools (IDEs, large-scale build systems, compilers) and internationalization."
Front End Software Engineer,"Pittsburgh, PA, USA","BS degree in computer science, or equivalent practical experience.
Experience creating or optimizing compilers and/or toolchains.","MS degree or PhD in computer science, or equivalent practical experience.
Experience with C, C++ and assembly and virtual machines.
Development experience in a Unix/Linux environment.
Knowledge of garbage collection, interpretation, and compilation.
Demonstrated programming skills and an understanding of hardware architectures.","Design, develop, implement and test features in V8, Chrome's high performance JavaScript language runtime.
Analyze and improve the quality of dynamically generated code.
Develop new and modify existing garbage collection algorithms to minimize memory requirements and maximize performance.
Think about architecture and focus on research optionally."
"Software Engineer, Networking","Sunnyvale, CA, USA","BA/BS degree in Computer Science or a related technical field or equivalent practical experience.
Experience with networking software (e.g., OSI Model, TCP/IP, IPTables, NAT, Deep Packet Inspection, IPV4, IPV6, routing protocols, etc.).
Coding experience in C/C++, Java, Python or Go.
Experience developing large scale distributed systems.","MS or PhD in Computer Science.
Experience with Unix/Linux environments.
Familiarity with Network Virtualization or Software Defined Networking (SDN).
Experience with load balancing and Edge Computing concepts such as Content Delivery Networks (CDN).
Understanding of 2 or more of the following Networking and Communications protocols: RCS, WebRTC, LTE, Wireless/WLAN, Evolved Packet Core (EPC), Fast Packet Processing, Traffic Analysis/Management, Caching, ForCES, OpenFlow, etc.","Build our networking platforms, systems and infrastructure using your strong background in networked and distributed systems.
Design, develop, test, deploy, maintain, and enhance networking software solutions.
Manage individual projects priorities, deadlines and deliverables."
"Lead Software Engineer, Kubernetes","Warsaw, Poland","BS degree in Computer Science or a related technical field or equivalent practical experience.
Experience with software development in general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience as a technical influencer for highly scalable distributed system designs.","Experience working on Cloud IaaS, PaaS or SaaS products.
Experience using cloud platforms and/or containerized application deployments.
Experience as a contributor to Kubernetes or any other Open Source project.
Expertise in Go or C++ programming language.
Knowledge of Kubernetes from the user’s perspective.","Work on a fast-paced, rapidly growing, high-profile project with a significant opportunity for industry-level impact on emerging container-based technologies.
Devise innovative ideas for solving Cloud customer problems and translate these ideas into technical designs.
Provide technical leadership and solve end-to-end the most difficult problems (work on design, implementation and productionization).
Be a hands-on coder applying the best industry standards for code health, scalability and robustness, mentoring more junior Software Engineers.
Collaborate with technical leaders working on shaping Kubernetes product within Google and within the open source community worldwide, contribute to product and project strategy, roadmap definition, and requirements gathering"
Front End Software Engineer,"Pittsburgh, PA, USA","BS degree in Computer Science, similar technical field of study or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, big data, machine learning, information retrieval, natural language processing, networking, and/or developing large software systems.
Working proficiency and communication skills in verbal and written English.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, or JavaScript.
Interest and ability to learn other coding languages as needed.","Design, implement and launch highly-visible, user-facing features.
Develop new ways for YouTube users to find interesting content.
Design and develop large scale web applications."
Front End Software Engineer,"Pittsburgh, PA, USA","BA/BS degree or equivalent practical experience.
1 year of work experience in software development.
Experience with server-side web frameworks such as JSP or ASP.Net.
Development experience in C, C++ or Java and experience designing modular, object-oriented JavaScript.","4 years of relevant work experience, including web application experience or skills using AJAX, HTML, CSS or JavaScript.
Programming experience in GWT.
Experience with user interface frameworks such as XUL, Flex, AJAX, and XAML.
Knowledge of user interface design.","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems."
"Software Engineer, Compiler","Munich, Germany","BS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of hands-on experience working with Object-Oriented Programming in JavaScript.
Experience working with JavaScript, HTML and CSS (for Web Player SDKS).
Experience in web application development, developing large software systems.","MS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, and relevant industry experience. Experience with establishing communication between JavaScript modules and web views.
Understanding of event models, and object oriented plugin and module development.
Understanding of core computer science disciplines (data structures, algorithms, etc.) and Object Oriented Programming skills.
Knowledge of Linux development environment and open source tools/platforms. Familiarity with HTML5 video, MSE, and HTLM5 Shaka Player.","Design, implement and launch complex HTML5 video player (Web/OTT) for cloud video services and extend it with new, ground-breaking features from the planning stage through execution to product launch.
Maintain existing SDKs, add plugins to manage video ads and analytics, manage social widgets and control user experience.
Document activities from design to completion and participate in testing of projects.
Write efficient, reusable and stable code for complex application logic.
Use automated testing systems to ensure the perfect user experience at all stages."
"Software Engineer, Compiler","Munich, Germany","BA/BS in Computer Science or related technical field or equivalent practical experience.
Experience with AJAX, HTML and CSS.
Experience with JavaScript, C++, or Python.
Web application development experience.","Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience developing or designing large software systems.
Experience in GWT and Flash.
Understanding of the principles of accessibility and ability to build products that are accessible to users with disabilities.
Strong written and verbal communication skills, with the ability to create strong working relationships with cross-functional teams.","Design, implement and launch highly-visible, partner and end user-facing features.
Develop new ways for YouTube partners to manage and monetize content.
Design and develop large scale web applications."
"Software Engineer, Compiler","Munich, Germany","BA/BS degree in Computer Science or equivalent practical experience.
Experience using standard protocols such as LACP, STP, RSTP, VRRP, UDLD and 802.1x.
Experience with C/C++/scripting, and testing/releasing networking products.
Experience working with and testing multiple L2 and L3 networking protocols as well as troubleshooting automation.","Master's degree or PhD, or equivalent practical experience.
6 years of relevant work experience.
Experience in supporting, implementing and/or designing networks.
Experience using Unix/Linux operating systems.","Design, develop and execute test plans for networking features, equipment and systems.
Contribute to the design of new networking systems.
Develop test automation tools.
Certify software releases for general use.
Work with development teams to develop software and hardware systems."
"Software Engineer, Front End Development",Singapore,"Bachelor's degree in a technical field, or equivalent practical experience.
3 years of Android application development experience.
Programming experience in C, C++ or Java.
Experience with server-side web frameworks such as JSP or ASP.Net.","Development experience in designing modular, object-oriented JavaScript.
Experience with user interface frameworks such as XUL, Flex and XAML.
Experience with HTML, JavaScript, CSS and GWT.
Knowledge of user interface design.","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems."
"Software Engineer, Google Home","Shanghai, China","Bachelor's degree in Computer Science, Electrical Engineering, related technical field, or equivalent practical experience.
Experience in C/C++ programming.
Experience with Unix/Linux environments and the development of Linux device drivers.","Experience working with hardware designers/reading schematics.
Experience with ARM and/or other low-power SoC architectures.
Experience with Wi-Fi, Ethernet and other networking protocols.
Experience with scope and logic analyzers.
Knowledge of bus protocols such as I2C, SPI, UART, and SDIO.
Excellent technical documentation and communication skills.",Develop the whole software stack for consumer hardware devices.
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree in Computer Science, Mathematics, a related technical field, or equivalent practical experience.
Experience in software development life cycle. Experience in one or more programming languages such as Python, Go, Java or C++, as well as experience working with data sets using SQL.
Experience in data processing software (e.g., Hadoop, Spark, Pig, Hive) and data processing algorithms (e.g., MapReduce, Flume).","Experience with machine learning libraries (e.g., TensorFlow, Scikit-learn, Keras) or exploratory/statistical analysis using Python and R.
Experience with Unix or GNU/Linux systems and JavaScript/HTML development.
Experience writing, maintaining and monitoring streaming and batch ETLs operating on a variety of structured and unstructured sources.
Experience designing databases, defining and implementing system requirements for data collection.
Experience with reporting/analytic tools, data visualization or experiment design.
Excellent communication, organizational, and analytical skills. Proven ability to collaborate with internal stakeholders throughout complex projects, as well as an ability to write and review technical documentation as needed.","Work with data scientists to productionize exploratory or proven machine learning use cases, and implement instrumentation to measure usage and model performance.
Write extract, transform, and load (ETL) logic to automate data collection and manage machine learning and reporting processes/pipelines including data quality and monitoring
Collaborate with data scientists, analysts, support/system engineers, and business stakeholders to ensure our data infrastructure meets constantly evolving requirements.
Contribute to the development of data and machine learning frameworks, tools, skills and culture for the team and wider Google Cloud Support organization.
Write and review technical documents, including requirements and design documents for existing and future data systems, as well as data standards and policies."
"Software Engineer, Compiler","Munich, Germany","Master's degree in Electrical Engineering or Computer Science, or equivalent practical experience.
6 years of work experience in development, testing and deployment of wireless communications systems.
Experience with C/C++ for Linux systems.","PhD degree.
Experience with wireless protocols, networking protocol and related software development.
Experience with WiFi/BLE/Zigbee protocol/silicon development.
Excellent written and oral communication skills.","Participate in architecting, developing, testing and deploying complex wireless systems.
Categorize and analyze real-world wireless system, develop optimal system configurations and develop new protocols and/or protocol enhancements to achieve best wireless experience for the user.
Work closely with both internal and external partners on integration of Google Home software stacks with reference and partner platforms."
"Software Engineer, Compiler","Munich, Germany","BS degree in Computer Science, Math, or related technical field, or equivalent practical experience.
Experience with large systems software design including storage, networking, deployment and scaling methodologies.
Experience in one or more programming languages.","Experience with Google Cloud Platform and its suite of serving, hosting, and storage services.
Experience engaging, working, and communicating with external customers in a professional manner.
Experience developing Chrome Extensions/React JS.
Experience with large system software design including storage, networking, deployment and scaling methodologies.
Web UI development experience with HTML, JavaScript, AJAX, CSS and similar technologies.
Knowledge of at least one backend language and SQL.","Develop frontend and backend systems from start to finish with a strong focus on business critical systems.
Work closely with business and data science partners in Google Cloud to drive the growth of Cloud and maximize impact. Work in partnership with the product team and other stakeholders to produce high quality and specific requirements.
Be a strong communicator, leader, and advocate for our customers. Deliver highly scalable and reliable business solutions to customers and partners.
Write high quality designs that document technical alternatives and make sound engineering decisions across known and unknown interacting systems. Provide estimates and dependencies for engineering tasks.
Be able to lead all aspects of development including design, task allocation, implementation, testing, documentation, ongoing support and maintenance."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree or equivalent practical experience.
5 years of technical experience working in system administration or IT operations.
Experience with system administration of various operating systems such as Windows, Linux, OS X, Chrome OS and Android.","Experience in providing infrastructure solutions for high profile internal customers.
Experience in automation with scripting or programming languages such as Bash, Python, Java, and JavaScript.
Knowledge of at least three of the following skill-sets within IT Operations: Windows, Unix, Networking, Scripting and Automation, Application troubleshooting
Knowledge of complex IT infrastructure and ability to troubleshoot challenges.
Systematic problem solving approach, with the ability to adjust quickly to changing priorities and work effectively in an ambiguous, fast-paced environment.
Excellent customer service, organizational, prioritization, multitasking, communication and leadership skills.","Identify and problem solve complex systemic challenges spanning multiple systems and teams as they relate to corporate IT initiatives; this may include designing systems or services from ground up.
Partner with internal service owners and teams to evaluate technical data, create recommendations, obtain consensus, plan and execute service upgrades and changes.
Automate and/or execute IT infrastructure-related projects such as platform migrations and information security policy updates.
Develop tools and solutions to increase the operational efficiency of the IT change management process with focus on excellent user journeys or experiences.
Innovate and design new internal solutions that allow us to scale."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree or equivalent practical experience.
Relevant work experience in software development, including experience in C++ and/or Java.
Experience developing or designing client-side applications.","Relevant work experience, including experience with UNIX/Linux or Windows environments, distributed systems, machine learning, information retrieval and TCP/IP.
Development experience designing object-oriented JavaScript.
Multi-threaded server-side web application programming experience.","Build next-generation web applications with a focus on the client side.
Design and develop overall architecture of the web application.
Collaborate with the rest of the engineering team to design and launch new features."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree in Computer Science, Engineering, Mathematics, Statistics, related fields or equivalent practical experience.
5 years of experience developing and working with data center focused software/automation tools. Experience with technical subjects, emerging technologies and their relevance to the business.
Experience with software program/project management, end to end product development lifecycle and driving release cycles, etc.","MBA/MS degree.
Demonstrated experience in collaborating effectively with end users, software development teams, key stakeholders to solve critical business problems and making a significant business impact. Seen/perceived as a change agent.
Ability to work well and exert influence as a member of a highly integrated team composed of both technical and non-technical members.
Ability to demonstrate strong communication, project management, interpersonal and organizational skills.","Deliver Hardware Operations (HWO) software tools automation to HWO sites.
Partner with Hardware Operations site managers and Operations Managers to drive Hardware Operations tooling software requirements, prioritization of feature requests and bugs; help drive implementation of feature requests and bug fixes.
Own and nurture partner relationships. Communicate succinctly and clearly with cross-functional team leads and management regarding project statuses, resource requirements, issues and priorities.
Identify risks and systemic problems proactively, prioritize, create plans and recommend solutions for quick resolution.
Partner with Software Engineering teams to drive implementation of software tools programs - through Pilot, UAT, GA phases, etc."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree or equivalent practical experience.
5 years of experience in software program management.","Experience managing interactive, design, and/or creative projects (hardware and software experience).
Experience managing deliverables for technical projects or products.
Experience in allocating team members accordingly against shifting priorities.
Experience with bug tracking software, apps release processes, and software support needs.
Ability to understand and discuss technical topics, requirements, and limitations related to software development.
Ability to drive feature definition from ambiguity.","Drive broad product initiatives within and between UX, UI, Product Management, Legal, Marketing and Engineering teams on products of high technical complexity.
Coordinate apps and device software build releases with internal stakeholders.
Develop strategy for engaging UX/UI team with numerous engineering teams.
Prioritize feature definition, plan UX design research and implementation, and drive execution.
Manage external vendors, contractors, and developers as needed to support product deliverables."
"Software Engineer, Compiler","Munich, Germany","BS degree in Computer Science, similar technical field of study or equivalent practical experience
5 years of software development experience in Java, C++, C#, or Golang
Experience in designing and developing large scale distributed systems, API, workflow, concurrency, multithreading and synchronization
Experience in developing Windows Agent software and/or SQL Server features and in designing, implementing, and running SaaS on SQL Server and Windows environment","10 years of relevant work experience in software development
Experience in building infrastructure as service (IasS), platform as a service (PaaS), etc.
Experience in running SQL Server and/or Window production environment for SaaS
Experience in building cloud-based Database or Storage services","Work alongside the Technical Lead to drive long-term technical direction
Own and drive the design and implementation of major components
Help to influence and shape the team's culture and process
Partner with Product Managers to define product direction
Collaborate with other GCP teams to drive alignments. Grow and mentor other engineers."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree in Computer Science, similar technical field of study or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.","Master’s degree or PhD in Engineering, Computer Science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: C++, Java, C and Python.
Experience in a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies.
Excellent written and verbal communication skills.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Work closely with product management team to ensure we're building the best products."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree or equivalent practical experience.
Experience in a test automation, continuous integration or similar role.","Bachelor's degree in Computer Science.
Experience developing test automation in C++, Java or Python.","Lead and contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and testing.
Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design.
Drive adoption of best practices in code health, testing and maintainability.
Design and build advanced automated testing frameworks and infrastructure to help Engineering teams measure and increase their velocity."
"Software Engineer, Android","Austin, TX, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
4 years work experience including programming experience in C/C++, Java and/or Python.
Experience on mobile platforms within Linux, Windows and Mac environments.","Experience in API design, performance optimization, client architecture, or tools, in the mobile space.
Expertise in the following areas: performance debugging and optimization of complex workloads, design of performance tools, compiler design and code optimization, high-performance software development techniques, concurrent programming, and/or multi-core computer architectures.
Android SDK knowledge.
Understanding of Android platform and Google Play Services.
Understanding of Android operating system
Demonstrated ability to work with data structures, algorithms and software design optimized for embedded systems.","Manage individual project priorities, deadlines and deliverables.
Design, develop, test, deploy, maintain and enhance software solutions."
"Software Engineer, Compiler","Munich, Germany","Bachelor's degree in Computer Science, a related technical field of study or equivalent practical experience.
Software development experience in general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing software systems and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Master’s degree.
Experience with Unix/Linux open source developments and communities for kernel/device drivers.
Experience with one or more general purpose programming languages: Java, C/C++, C#, Objective C, Python, JavaScript, Go, etc.
Interest and ability to learn other coding languages as needed.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables."
"Software Engineer, Compiler","Munich, Germany","BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
1 year of relevant work experience.
Development experience within embedded systems/firmware design.
Experience coding in C/C++","MS or PhD degree in Computer Science, Computer Engineering, Electrical Engineering or related field
Experience with audio and video processing or DSP, including but not limited to AV synchronization, Open GL/CL, codecs, AV/Media, or speech/audio recognition and synthesis.
Knowledge of Unix/Linux environments and kernel development.
Knowledge of one or more of the following: Microcontrollers, SoC, device drivers, hardware bringup, power management, ARM processors, performance optimization, file systems, bootloading, firmware, x86 assembly, system BIOS or hardware/software integration.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables."
"Software Engineer, Compiler","Munich, Germany","Bachelor's in Computer Science, related technical field or equivalent practical experience.
2 years of relevant work experience in software development.
Experience in C++/C programming.","MS degree or PhD in Computer Science or related technical field.
Experience in programming in C for embedded systems.
Experience with graphics, Chrome and/or WebKit.
Experience with assembly language, GPU optimizations, embedded systems.
Experience with graphics APIs such as OpenGL or Direct3D, and languages such as C#, Java, Lua or Python.
Strong low-level programming skills and a thorough understanding of hardware architectures.","Develop graphics software for high-volume products (Chrome and Android) to drive the future of graphics capabilities for Google Chrome, Mobile, and the Web.
Specialize in domains: Graphics, Typography, OpenGL, DirectX development with client application development for Windows/Mac (Chrome, Toolbar, etc.), embedded systems and mobile apps (Android), and developer tools (IDEs, large-scale build systems, compilers)."
